High_Risk_Job,High_Risk_Domain,Alternative_Job,Alternative_Domain,Similarity
Database Designer,Leadership & Strategy,Game Designer,Leadership & Strategy,0.7856
Database Designer,Leadership & Strategy,Pcb Designer,Leadership & Strategy,0.7731
Database Engineer,Medical & Healthcare,Oracle Developer,Medical & Healthcare,0.8073
Database Engineer,Medical & Healthcare,Database Architect,Medical & Healthcare,0.79
Database Engineer,Medical & Healthcare,Power Plant Engineer,Medical & Healthcare,0.7316
Gis Developer,Supply Chain & Logistics,Mobile Developer,Supply Chain & Logistics,0.7835
Gis Developer,Supply Chain & Logistics,Rpg Programmer,Supply Chain & Logistics,0.7685
Gis Developer,Supply Chain & Logistics,Sql Database Developer,Supply Chain & Logistics,0.7671
Informatica Developer,Law Enforcement,Perl Developer,Law Enforcement,0.742
Informatica Developer,Law Enforcement,Development Officer,Law Enforcement,0.7235
Informatica Developer,Law Enforcement,Principal Software Engineer,Law Enforcement,0.7158
Ui Developer,Construction,Application Developer,Construction,0.8858
Ui Developer,Construction,Wordpress Developer,Construction,0.8516
Ui Developer,Construction,.Net Developer,Construction,0.7981
Ux Developer,Sales & Marketing,Entry Level Developer,Sales & Marketing,0.8563
Ux Developer,Sales & Marketing,Sap Developer,Sales & Marketing,0.7922
Ux Developer,Sales & Marketing,Java Web Developer,Sales & Marketing,0.7871
Stenographer,Hospitality,Medical Examiner,Hospitality,0.7585
Stenographer,Hospitality,Certified Surgical Technologist,Hospitality,0.7149
Stenographer,Hospitality,Medical Clerk,Hospitality,0.7132
Allocation Analyst,Communication & PR,Performance Analyst,Communication & PR,0.8355
Allocation Analyst,Communication & PR,Implementation Analyst,Communication & PR,0.8182
Allocation Analyst,Communication & PR,Financial Data Analyst,Communication & PR,0.806
Business Operations Manager,Data & IT,Business Analyst Manager,Data & IT,0.896
Business Operations Manager,Data & IT,Business Administrator,Data & IT,0.8747
Business Operations Manager,Data & IT,Business Project Manager,Data & IT,0.8554
